Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Public Health and Community Studies,Coventry University,2024,"Public health, Community studies, Applied sociology, Community development, Drug awareness, Epidemiology, Health education, Health and disease, Health sociology, Policy studies, Public policy, Social policy, Social research",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","CU London (Dagenham), Dagenham Civic Centre, , London, RM10 7BN, Unknown"
Criminology,Keele University,2024,"Criminology, Criminal law, Legal sociology, Social policy, Law, Critical thinking",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Keele University, None, Keele, ST5 5BG, Unknown"
Aerospace Engineering,University of Surrey,2024,"Aerospace engineering, Engineering, Aeronautical engineering, Mechanical engineering, Aeronautics, Mechatronics",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Stag Hill, Stag Hill, None, Guildford, GU2 7XH, Unknown"
Music and Special Educational Needs (with Foundation Year),Liverpool Hope University,2024,"Music, Music editing, Music history, Music theory, Special needs, Disability studies, Educational studies, Critical thinking, Education, Educational assessment, Educational counselling, Educational philosophy, Educational psychology, Educational sociology, Educational welfare, Inclusive practice, Special educational needs coordination",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Earth Science,University of Portsmouth,2024,"Earth sciences, Geology, Geotechnical engineering, Environmental engineering, Applied science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University House, , Portsmouth, PO1 2UP, Unknown"
International Relations,London Metropolitan University,2024,"International relations, Social sciences, International studies",Part-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Holloway, 166-220 Holloway Road, , Islington, N7 8DB, Unknown"
Biochemistry with a Placement Year,University of East Anglia UEA,2024,"Biochemistry, Biology, Biological sciences, Chemistry, Pharmacy, Pharmacology, Natural science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University of East Anglia, None, Norwich, NR4 7TJ, Unknown"
Arabic and International Relations,"University of Westminster, London",2024,"Arabic, Modern languages, International relations",Part-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Regent Street, 309 Regent Street, , Westminster, W1B 2HW, Unknown"
Environmental Science,University of Birmingham,2024,"Environmental science, Environmental chemistry, Climate studies, Environment",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Anthropology,UCL (University College London),2024,Anthropology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , London, WC1E 6BT, Unknown"
